,Title,Budget,Movie ID,Revenue
1955,Doubt,20000000,14359,50907234
1962,Aftershock,2000000,123103,58510
1971,Borderline,3700000,69492,0
1978,Bedtime Stories,80000000,10202,212874864
1980,Christopher Robin,75000000,420814,99138899
1990,Employee of the Month,12000000,9794,38368909
1991,Maggie,4000000,287424,187112
1997,Revolt,4000000,313943,0
2003,GLOW: The Story of The Gorgeous Ladies of Wrestling,33157,103732,0
2008,Planet of the Apes,5800000,871,33395426
2010,North by Northwest,4000000,213,13275000
2016,The Great Train Robbery,150,5698,0
2029,Loving Pablo,4667008,425336,17535962
2033,Legend of the Naga Pearls,38000000,466438,0
2037,Trailer Park Boys: Countdown to Liquor Day,3500000,27561,0
2038,Trailer Park Boys: The Movie,5000000,9958,3833507
2044,Middle School: The Worst Years of My Life,8500000,369883,23316139
2049,Osmosis Jones,75000000,12610,13596911
2051,The Highwaymen,49000000,500682,0
2053,The Terminal,60000000,594,219417255
2055,Tucker and Dale vs. Evil,5000000,46838,5224938
2057,My All American,20000000,334531,0
2058,Stan & Ollie,10000000,394741,0
2062,I Remember You,2408070,423236,0
2070,Superlopez,5200000,457915,12496155
2077,I Don't Know How She Does It,24000000,70868,31410151
2083,The Cloverfield Paradox,45000000,384521,0
2084,Aliens vs Predator: Requiem,40000000,440,130290885
2086,Secret Superstar,286284,441889,137416709
2100,Stay Tuned,25000000,23939,10736401
2112,A-X-L,10000000,438590,0
2115,Imago mortis,3700000,30449,0
2120,The Contract,25000000,1441,5549200
2122,River's Edge,19000000,21309,0
2125,Saving Mr. Banks,35000000,140823,112544580
2126,Pencils Down! The 100 Days of the Writers Guild Strike,108,434499,0
2135,Ravenous,12000000,10212,0
2137,The Salvation,10500000,266285,42070000
2141,Tinker Bell,48000000,13179,0
2151,5 Flights Up,6000000,286521,1020921
2165,Coraline,60000000,14836,124596398
2167,Howards End,8000000,8293,26126837
2170,Chicken Little,150000000,9982,314432665
2175,G-Force,150000000,19585,292817841
2176,Gone Girl,61000000,210577,369330363
2184,Love and Death,3000000,11686,20173742
2188,The Lives of Others,2000000,582,70000000
2216,Aśoka,17000000,4435,19000000
2217,Bon Cop Bad Cop,8000000,15049,12671300
2221,One 2 Ka 4,5200000,132744,5900000
2223,Before Sunrise,2500000,76,5535405
2224,Captain Marvel,152000000,299537,1128276090
2244,Cain and Abel,250000,90619,0
2253,Nails,5500000,408185,0
2264,Wedding Association,2,246524,0
2282,Boss Wants a Happy Ending,3000000,258310,3000000
2291,Vizontele Tuuba,3000000,92834,13954476
2295,The Grand Budapest Hotel,30000000,120467,174600318
2298,"Crouching Tiger, Hidden Dragon: Sword of Destiny",20000000,263341,0
2303,Junebug,1000000,1444,0
2305,Layer Cake,6500000,4836,11850214
2306,The Losers,25000000,34813,23580000
2317,The Spiderwick Chronicles,90000000,8204,162839667
2320,Wet Hot American Summer,5000000,2171,295206
2321,Winter's Bone,2000000,39013,13831503
2327,Aitraaz,3500000,22315,9250000
2330,Battle Drone,3500000,508648,0
2331,Baby Boom,15000000,11215,26712476
2332,Oliver & Company,31000000,12233,74151346
2338,Grand Masti,4900000,220714,19000000
2343,Hide and Seek,30000000,11096,122650962
2349,Judwaa 2,10000000,456565,34500000
2362,No Entry,3500000,20390,14000000
2367,The SpongeBob Movie: Sponge on the Run,60000000,400160,4700000
2371,Shanghai Noon,55000000,8584,56932305
2376,Solo: A Star Wars Story,250000000,348350,392952373
2379,Swades,2900000,15774,4800000
2383,Teen Patti,1000000,34418,3900000
2402,Rooster's Beak,1,584788,0
2406,Forces of Nature,75000000,1641,93888180
2415,Hellraiser: Revelations,350000,70584,0
2421,Coyote Ugly,45000000,6282,113916474
2425,It's Now or Never,10000,491431,0
2432,Equilibrium,20000000,7299,5359645
2436,The Hollow,900000,35946,0
2452,A Perfect Man,5000000,228331,388
2455,Cabin Fever,1500000,11547,30553395
2456,Christian Mingle,650000,296456,25480
2458,Delta Farce,12,14547,0
2473,Thor: Ragnarok,180000000,284053,853977126
2474,Suite Française,15000000,271674,9104716
2478,Silent Hill,50000000,588,97607453
2479,The Men Who Stare at Goats,24000000,10313,68729358
2482,Inhuman Kiss,1200000,587488,0
2488,The Maus,2395510,461931,0
2497,The Three Stooges,30000000,76489,54819301
2498,The Tunnel,135000,46221,0
2507,Penalty Kick,1,510262,0
2510,The Forest,10000000,329440,37608299
2512,20th Century Women,7000000,342737,5664764
2518,Staged Killer,240000,603702,0
2519,Super Bheem Toota Khush Tara,256982,493180,1253654
2523,Okja,50000000,387426,0
2530,Kahaani,1200000,82825,16000000
2531,Spider-Man: Into the Spider-Verse,90000000,324857,375540831
2533,Unbroken,65000000,227306,163442937
2534,Hotel Transylvania,85000000,76492,358375603
2535,Star Wars: The Last Jedi,200000000,181808,1332539889
2541,Total Recall,125000000,64635,198802074
2545,Kaabil,5200000,403867,0
2553,Hungerford,40000,268229,0
2555,Tarzan,130000000,37135,448191819
2561,Tarzan,130000000,37135,448191819
2564,Salem Abu Ukhtuh,800000,285664,100000
2565,Triple Threat,10000000,449985,0
2575,Good Luck Chuck,25000000,10030,59192128
2584,Chain Reaction,50000000,12123,60209334
2586,The Player,8000000,10403,21706101
2596,"Good Night, and Good Luck.",7000000,3291,54600000
2598,The Duel,10000000,333386,4500
2599,The King's Speech,15000000,45269,414211549
2600,1898: Our Last Men in the Philippines,6976542,403357,0
2624,Ip Man 3,36000000,365222,156844753
2628,Counterpunch,1300000,462104,0
2630,What the Health,273428,415086,0
2648,Sunday's Illness,105000,442811,0
2652,The Cave,30000000,9042,15007991
2662,Murder Mystery,24000000,514999,0
2673,The Cell,33000000,8843,104155843
2685,Daughters of the Dust,800000,68427,0
2696,50/50,8000000,40807,39187783
2706,Righteous Kill,60000000,13389,78460699
2708,Small Soldiers,40000000,11551,54682547
2709,The Box,30000000,22825,33333531
2710,The Phantom of the Opera,70000000,9833,154648887
2711,The Space Between Us,30000000,365942,14793385
2714,What a Girl Wants,20000000,10735,50732139
2721,National Treasure,100000000,2059,347512318
2733,Devil's Bride,3100000,408194,0
2735,How the Grinch Stole Christmas,123000000,8871,345141403
2752,Smoke,7000000,10149,8349430
2753,The Day Will Come,10000000,348675,0
2757,Y Tu Mamá También,5000000,1391,33616692
2768,Mary Poppins Returns,130000000,400650,348807090
2772,The Iron Lady,13000000,71688,115890699
2786,White Fang,14000000,12227,34793160
2788,The King's Speech,15000000,45269,414211549
2790,Alone in the Dark,20000000,12142,10442808
2793,Blue Valentine,3500000,46705,16566240
2797,Vicky Cristina Barcelona,15000000,5038,96408652
2798,Skiptrace,32000000,270774,58500000
2807,Wet Hot American Summer,5000000,2171,295206
2813,Holy Man,60000000,9713,12069719
2817,All the Boys Love Mandy Lane,750000,9022,0
2821,American Renegades,66190000,335788,2602149
2822,The Croods,135000000,49519,587204668
2824,Her,23000000,152601,47351251
2828,The Company Men,15000000,44129,4882577
2830,The Haunted Mansion,90000000,10756,182290266
2850,The Son of Bigfoot,30000000,413644,46372519
2853,Dark Places,20000000,182560,208588
2854,Ex Machina,15000000,264660,36869414
2855,Man of Tai Chi,25000000,76544,2054941
2859,A Walk to Remember,11800000,10229,47494916
2862,Another Life,500000,54577,0
2868,Parmanu: The Story of Pokhran,7405000,465642,0
2869,The Holy Man,341436,235470,680000
2877,Tusk,2800000,246403,1826705
2879,Victor Frankenstein,40000000,228066,34227298
2883,Inglourious Basterds,70000000,16869,321455689
2887,A Most Violent Year,20000000,241239,12007070
2888,Bolt,150000000,13053,309979994
2897,Life After Beth,2400000,244566,88273
2898,Revenge of the Green Dragons,5000000,286709,0
2899,City of Tiny Lights,3892200,408626,0
2908,Nothing to Lose,25000000,11676,44480039
2918,Black Rose,7000000,272610,855450
2927,Laggies,5000000,244264,2379154
2929,The Rover,12250000,157845,2295423
2948,The Break-Up,52000000,9767,205668210
2949,The Princess and the Frog,105000000,10198,270997378
2961,Ginger Snaps,5000000,9871,0
2963,Locke,2000000,210479,4635300
2965,Spring Breakers,5000000,122081,31724284
2971,The Spectacular Now,2500000,157386,6854611
2972,Under the Skin,13300000,97370,5735963
2973,Love Hurts,10000000,51822,0
2977,Lusers,2000000,373878,0
2980,The Physician,36000000,169881,57284237
2982,Rambo: Last Blood,50000000,522938,91490353
2983,Colonia,14000000,318781,3621046
2993,How It Ends,20000000,475210,0
2997,The Signal,4000000,242095,2665322
3001,PC-4L,500,716146,0
3004,Black and Blue,12000000,578189,22741061
3014,Money for Nothing,11000000,55448,1044824
3018,Smart People,7000000,12890,10569964
3024,Madea's Family Reunion,6000000,16781,57231524
3036,Inkheart,60000000,2309,62803180
3040,Lady in the Water,70000000,9697,72785169
3043,Mean Streets,500000,203,3000000
3045,Jumanji: The Next Level,125000000,512200,796575993
3067,Paul Blart: Mall Cop,26000000,14560,183293131
3068,Philadelphia,26000000,9800,206678440
3070,Race to Witch Mountain,50000000,13836,106303988
3071,Rain Man,25000000,380,354825435
3074,Scream 3,40000000,4234,161834276
3075,Shorts,40000000,25132,28972508
3077,Starsky & Hutch,60000000,9384,170268750
3080,Swordfish,102000000,9705,147080413
3081,Taxi Driver,1300000,103,28262574
3084,The Book of Eli,80000000,20504,157107755
3085,The Brothers Grimm,88000000,4442,105316267
3086,The Forbidden Kingdom,55000000,1729,127906624
3088,The Pink Panther,65000000,12096,158851357
3090,The War Against Women,283534,356644,0
3092,Angamaly Diaries,610000,442000,3100000
3104,Gemini Man,138000000,453405,173469516
3107,Loving Annabelle,900000,19344,0
3117,Sarvopari Palakkaran,470000,466998,0
3119,Socha Na Tha,1500000,21555,2400000
3125,Traitor,22000000,13291,23530831
3131,Zoo,4000000,472553,0
3134,Code 46,7500000,2577,0
3152,The Players Club,4500000,19848,23261485
3153,The Nutty Professor,54000000,9327,128769345
3155,The Invisible Guest,4000000,411088,30000000
3158,The Bourne Ultimatum,70000000,2503,442824138
3167,The Deep End,5500,736690,0
3172,Limitless,27000000,51876,161849455
3184,Solo: A Star Wars Story,250000000,348350,392952373
3186,The Monster,2700000,340103,0
3191,The Conjuring,13000000,138843,319494638
3194,A Ghost Story,100000,428449,1596371
